# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A4F91::libc.so.6  F6 45 04 01             test byte ptr [rbp+0x4], 0x1
0x7F9AD43A4F95::libc.so.6  48 8D 45 68             lea rax, ptr [rbp+0x68]
0x7F9AD43A4F99::libc.so.6  75 1C                   jnz 0x7f9ad43a4fb7
0x7F9AD43A4F9B::libc.so.6  48 89 EF                mov rdi, rbp
0x7F9AD43A4F9E::libc.so.6  48 89 44 24 30          mov qword ptr [rsp+0x30], rax
0x7F9AD43A4FA3::libc.so.6  4C 89 4C 24 28          mov qword ptr [rsp+0x28], r9
0x7F9AD43A4FA8::libc.so.6  E8 B3 C6 FF FF          call 0x7f9ad43a1660 -> malloc_usable_size
0x7F9AD43A1660::libc.so.6  41 57                   push r15
0x7F9AD43A1662::libc.so.6  49 89 F8                mov r8, rdi
0x7F9AD43A1665::libc.so.6  41 56                   push r14
0x7F9AD43A1667::libc.so.6  41 55                   push r13
0x7F9AD43A1669::libc.so.6  41 54                   push r12
0x7F9AD43A166B::libc.so.6  55                      push rbp
0x7F9AD43A166C::libc.so.6  53                      push rbx
0x7F9AD43A166D::libc.so.6  48 83 EC 38             sub rsp, 0x38
0x7F9AD43A1671::libc.so.6  48 83 3D 97 80 30 00 00 cmp qword ptr [rip+0x308097], 0x0
0x7F9AD43A1679::libc.so.6  0F 84 71 01 00 00       jz 0x7f9ad43a17f0
0x7F9AD43A167F::libc.so.6  83 4F 04 01             or dword ptr [rdi+0x4], 0x1
0x7F9AD43A1683::libc.so.6  4C 8D 77 58             lea r14, ptr [rdi+0x58]
0x7F9AD43A1687::libc.so.6  4C 8D 57 50             lea r10, ptr [rdi+0x50]
0x7F9AD43A168B::libc.so.6  4C 8D 4F 08             lea r9, ptr [rdi+0x8]
0x7F9AD43A168F::libc.so.6  90                      nop
0x7F9AD43A1690::libc.so.6  49 8B 19                mov rbx, qword ptr [r9]
0x7F9AD43A1693::libc.so.6  48 85 DB                test rbx, rbx
0x7F9AD43A1696::libc.so.6  0F 84 24 01 00 00       jz 0x7f9ad43a17c0
0x7F9AD43A169C::libc.so.6  49 C7 01 00 00 00 00    mov qword ptr [r9], 0x0
0x7F9AD43A16A3::libc.so.6  E9 92 00 00 00          jmp 0x7f9ad43a173a
0x7F9AD43A17F0::libc.so.6  48 8D 4F 68             lea rcx, ptr [rdi+0x68]
0x7F9AD43A17F4::libc.so.6  F6 C1 0F                test cl, 0xf
0x7F9AD43A17F7::libc.so.6  0F 85 C2 01 00 00       jnz 0x7f9ad43a19bf
0x7F9AD43A17FD::libc.so.6  48 89 4C 24 08          mov qword ptr [rsp+0x8], rcx
0x7F9AD43A1802::libc.so.6  66 45 0F EF D2          pxor xmm10, xmm10
0x7F9AD43A1807::libc.so.6  F3 0F 7E 44 24 08       movq xmm0, qword ptr [rsp+0x8]
0x7F9AD43A180D::libc.so.6  48 8D 97 28 08 00 00    lea rdx, ptr [rdi+0x828]
0x7F9AD43A1814::libc.so.6  66 0F 6C C0             punpcklqdq xmm0, xmm0
0x7F9AD43A1818::libc.so.6  48 89 C8                mov rax, rcx
0x7F9AD43A181B::libc.so.6  66 0F 6F 35 9D 78 0D 00 movdqa xmm6, xmmword ptr [rip+0xd789d]
0x7F9AD43A1823::libc.so.6  66 44 0F 6F C8          movdqa xmm9, xmm0
0x7F9AD43A1828::libc.so.6  66 44 0F 6F 25 9F 78 0D 00 movdqa xmm12, xmmword ptr [rip+0xd789f]
0x7F9AD43A1831::libc.so.6  66 44 0F 6F 1D A6 78 0D 00 movdqa xmm11, xmmword ptr [rip+0xd78a6]
0x7F9AD43A183A::libc.so.6  66 44 0F 6F 05 AD 78 0D 00 movdqa xmm8, xmmword ptr [rip+0xd78ad]
0x7F9AD43A1843::libc.so.6  66 0F 6F 3D B5 78 0D 00 movdqa xmm7, xmmword ptr [rip+0xd78b5]
